route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
12,2022_09_12-SU-MVS-Sunday-56,1311044,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311077,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311043,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311076,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311042,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311075,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311041,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311074,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311040,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311073,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311039,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311072,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311038,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311071,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311037,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311070,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311036,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311069,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311035,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311068,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311034,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311067,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311033,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311066,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311032,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311065,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311031,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311064,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311030,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311063,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311029,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311062,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311028,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311061,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311027,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311060,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311026,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311059,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311025,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311058,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311024,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311057,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311023,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311056,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311022,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311055,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311021,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311054,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311020,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311053,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311019,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311052,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311018,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311051,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311017,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311050,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311016,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311049,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311015,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
11,2022_09_12-SU-MVS-Sunday-56,1311048,OAK Airport / SF / Daly City,1,,1186155_shp,,1,1
12,2022_09_12-SU-MVS-Sunday-56,1311014,SF / OAK Airport / Dublin/Pleasanton,0,,1186011_shp,,1,1
BB-A,2022_09_12-SU-MVS-Sunday-56,1346991,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1346993,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1346994,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1346996,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1346998,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347000,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347002,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347004,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347006,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347008,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347010,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347012,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347014,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347016,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347018,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347020,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347022,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347024,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347026,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347028,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347030,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347032,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347034,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347036,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347038,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347040,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347042,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347044,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347046,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1347048,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1346982,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1346988,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1346984,Bus Bridge,0,,1346602_shp,,0,0
BB-A,2022_09_12-SU-MVS-Sunday-56,1346989,Bus Bridge,0,,1346602_shp,,0,0
